country,pacific_sids,n,resolved_n,resolved_pct,auth_required_n,robots_disallowed_n,oversize_n,non_public_host_n,dns_failure_n,timeout_n,tls_error_n,connection_error_n,too_many_redirects_n,offdomain_redirect_n,format_assessed_n,format_match_n,format_match_pct,declared_pdf_actually_html_n,text_extracted_n,ocr_needed_n,extraction_failed_n,not_a_document_n,usable_text_n,usable_text_pct,reachable_readable_incl_ocr_n,reachable_readable_incl_ocr_pct,reachable_readable_incl_ocr_ci95,reachable_readable_excl_ocr_n,reachable_readable_excl_ocr_pct
BD,False,400,271,67.8,66,37,0,0,0,0,0,10,1,3,286,254,88.8,9,174,15,44,53,172,43.0,187,46.8,41.9–51.6,172,43.0
BR,False,400,103,25.8,284,6,0,0,0,0,3,1,0,0,106,98,92.5,2,75,8,4,19,75,18.8,83,20.8,17.1–25.0,75,18.8
CO,False,400,169,42.2,144,81,0,0,0,1,1,2,0,0,171,151,88.3,3,117,7,2,45,117,29.2,124,31.0,26.7–35.7,117,29.2
FJ,True,400,196,49.0,153,41,0,0,0,3,2,2,0,2,199,193,97.0,1,123,12,19,45,123,30.8,135,33.8,29.3–38.5,123,30.8
IN,False,400,135,33.8,239,19,0,0,0,0,1,2,0,0,139,132,95.0,1,97,3,22,17,97,24.2,100,25.0,21.0–29.5,97,24.2
KE,False,400,249,62.2,99,33,0,0,0,0,4,3,0,1,261,217,83.1,17,165,8,32,56,164,41.0,172,43.0,38.2–47.9,164,41.0
LR,False,400,247,61.8,101,37,0,0,0,2,6,4,0,0,250,217,86.8,27,174,4,22,50,172,43.0,176,44.0,39.2–48.9,172,43.0
LS,False,400,247,61.8,96,36,0,0,0,2,9,5,0,2,252,219,86.9,30,178,4,9,61,177,44.2,181,45.2,40.4–50.1,177,44.2
MD,False,400,304,76.0,41,49,1,0,0,1,2,1,0,4,305,292,95.7,3,203,24,21,57,203,50.8,227,56.8,51.9–61.5,203,50.8
ML,False,400,291,72.8,41,24,0,0,0,34,3,1,0,4,297,220,74.1,18,177,12,9,99,175,43.8,187,46.8,41.9–51.6,175,43.8
NG,False,400,225,56.2,121,23,0,0,1,21,2,0,0,2,232,191,82.3,21,147,0,51,34,145,36.2,145,36.2,31.7–41.1,145,36.2
NP,False,400,209,52.2,117,44,0,0,1,7,1,1,1,4,228,214,93.9,3,100,17,62,49,100,25.0,117,29.2,25.0–33.9,100,25.0
RW,False,400,287,71.8,73,17,0,0,3,12,3,0,0,1,292,231,79.1,27,179,10,47,56,178,44.5,188,47.0,42.2–51.9,178,44.5
SB,True,400,292,73.0,50,38,0,0,1,7,4,3,0,2,297,285,96.0,7,208,5,37,47,207,51.8,212,53.0,48.1–57.8,207,51.8
UG,False,400,243,60.8,103,36,0,0,0,1,0,7,0,0,253,190,75.1,14,161,7,28,57,159,39.8,166,41.5,36.8–46.4,159,39.8
VN,False,400,291,72.8,75,20,0,0,1,0,2,4,0,2,298,238,79.9,3,232,9,18,39,230,57.5,239,59.8,54.9–64.4,230,57.5
VU,True,400,323,80.8,47,5,0,0,0,8,1,11,0,4,328,312,95.1,6,247,8,13,60,243,60.8,251,62.8,57.9–67.3,243,60.8
WS,True,400,305,76.2,37,39,0,0,0,7,5,3,0,1,309,303,98.1,1,210,4,29,66,207,51.8,211,52.8,47.9–57.6,207,51.8
POOLED,,7200,4387,60.9,1887,585,1,0,7,106,49,60,2,32,4503,3957,87.9,193,2967,157,469,910,2944,40.9,3101,43.1,41.9–44.2,2944,40.9
